codEmpresa,nomEmpresa,numReserva,codEmpenho,anoEmpenho,mesEmpenho,datEmpenho,codProcesso,numCpfCnpj,txtRazaoSocial,numContrato,anoContrato,codOrgao,txDescricaoOrgao,codUnidade,txDescricaoUnidade,codFuncao,txDescricaoFuncao,codSubFuncao,txDescricaoSubFuncao,codPrograma,txDescricaoPrograma,codProjetoAtividade,txDescricaoProjetoAtividade,codCategoria,txDescricaoCategoriaEconomica,codGrupo,txDescricaoGrupoDespesa,codModalidade,txDescricaoModalidade,codElemento,txDescricaoElemento,codFonteRecurso,txDescricaoFonteRecurso,codItemDespesa,txDescricaoItemDespesa,codSubElemento,txDescricaoSubElementoDespesa,valTotalEmpenhado,valAnuladoEmpenho,valEmpenhadoLiquido,valLiquidado,valPagoExercicio,valPagoRestos,anexos,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codExeFonte,numeroOriginalContrato,_mesConsulta
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36139,2026,3,24/03/2026 00:00:00,6018202501022450,38218230000102,JM ENGENHARIA DIAGNOSTICA LTDA,38816,2025,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,46953.0,0.0,46953.0,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE EMPRESA, PARA EMISSÃO DE LAUDO SOBRE A INTEGRIDADE DE ESTRUTURA DE CONCRETO ARMADO - EXERCÍCIO 2026', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 46953.0}]",,,,,,3
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36557,2026,3,26/03/2026 00:00:00,6018202500311114,63457348000122,CONSORCIO MEDINFRA,34139,2025,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,5939038.03,0.0,5939038.03,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA APOIO NA FISCALIZAÇÃO DE OBRAS DE REFORMA E CONSTRUÇÃO DE UNIDADES DE SAÚDE SOB RESPONSABILIDADE DA SECRETARIA MUNICIPAL DE SAÚDE DE SÃO PAULO – EXERCÍCIO 2026', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 5939038.03}]",,,,,,3
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36581,2026,3,26/03/2026 00:00:00,6018202200852004,50851721000183,CONSORCIO MBM,15264,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,522417.79,0.0,522417.79,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA ELABORAÇÃO DE PROJETOS, APOIO TÉCNICO – OPERACIONAL E SUPERVISÃO DE OBRAS PARA A CONSTRUÇÃO E REQUALIFICAÇÃO DE HOSPITAIS MUNICIPAIS, DE RESPONSABILIDADE DA SMS - EXERCÍCIO DE 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 522417.79}]",,,,,,3
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36584,2026,3,26/03/2026 00:00:00,6018202200852004,50851721000183,CONSORCIO MBM,15264,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,117614.21,0.0,117614.21,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA ELABORAÇÃO DE PROJETOS, APOIO TÉCNICO – OPERACIONAL E SUPERVISÃO DE OBRAS PARA A CONSTRUÇÃO E REQUALIFICAÇÃO DE HOSPITAIS MUNICIPAIS, DE RESPONSABILIDADE DA SMS - EXERCÍCIO DE 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 117614.21}]",,,,,,3
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36139,2026,3,24/03/2026 00:00:00,6018202501022450,38218230000102,JM ENGENHARIA DIAGNOSTICA LTDA,38816,2025,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,46953.0,0.0,46953.0,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE EMPRESA, PARA EMISSÃO DE LAUDO SOBRE A INTEGRIDADE DE ESTRUTURA DE CONCRETO ARMADO - EXERCÍCIO 2026', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 46953.0}]",,,,,,4
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36557,2026,3,26/03/2026 00:00:00,6018202500311114,63457348000122,CONSORCIO MEDINFRA,34139,2025,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,5939038.03,0.0,5939038.03,1935602.43,1251542.27,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA APOIO NA FISCALIZAÇÃO DE OBRAS DE REFORMA E CONSTRUÇÃO DE UNIDADES DE SAÚDE SOB RESPONSABILIDADE DA SECRETARIA MUNICIPAL DE SAÚDE DE SÃO PAULO – EXERCÍCIO 2026', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 5939038.03}]",,,,,,4
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36581,2026,3,26/03/2026 00:00:00,6018202200852004,50851721000183,CONSORCIO MBM,15264,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,522417.79,0.0,522417.79,409228.42,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA ELABORAÇÃO DE PROJETOS, APOIO TÉCNICO – OPERACIONAL E SUPERVISÃO DE OBRAS PARA A CONSTRUÇÃO E REQUALIFICAÇÃO DE HOSPITAIS MUNICIPAIS, DE RESPONSABILIDADE DA SMS - EXERCÍCIO DE 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 522417.79}]",,,,,,4
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25933,36584,2026,3,26/03/2026 00:00:00,6018202200852004,50851721000183,CONSORCIO MBM,15264,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,302,Assistência Hospitalar e Ambulatorial,4016,Saúde em Atenção Hospitalar e de Urgência e Emergência,1536,"Ampliação, Reforma e Requalificação de Equipamentos em Atenção Hospita",4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,9,Outros Serviços de Terceiros - Pessoa Jurídica,9,Outros Serviços de Terceiros - Pessoa Jurídica,117614.21,0.0,117614.21,117614.21,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA ELABORAÇÃO DE PROJETOS, APOIO TÉCNICO – OPERACIONAL E SUPERVISÃO DE OBRAS PARA A CONSTRUÇÃO E REQUALIFICAÇÃO DE HOSPITAIS MUNICIPAIS, DE RESPONSABILIDADE DA SMS - EXERCÍCIO DE 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 117614.21}]",,,,,,4
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25907,38085,2026,4,01/04/2026 00:00:00,6018202300746494,51773856000130,CONSORCIO HR,26066,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,4015,"Saúde em Atenção Básica, Especialidades e Vigilância",1525,Construção e Implantação de Equipamentos de Atenção Básica e Especiali,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,51,Obras em Andamento - Uso Comum do Povo,08.1.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,0,Hospitais e Similares ,8,Obras e Instalações,3036455.81,0.0,3036455.81,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE OBRA DA CONSTRUÇÃO DA UBS JD. BRASÍLIA - EXERCÍCIO 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 3036455.81}]",,,,,,4
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25907,38087,2026,4,01/04/2026 00:00:00,6018202300746494,51773856000130,CONSORCIO HR,26066,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,4015,"Saúde em Atenção Básica, Especialidades e Vigilância",1525,Construção e Implantação de Equipamentos de Atenção Básica e Especiali,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,51,Obras em Andamento - Uso Comum do Povo,08.1.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,0,Hospitais e Similares ,8,Obras e Instalações,241276.78,0.0,241276.78,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'SER', 'descricaoAnexo': 'SMS/OBRAS - CONTRATAÇÃO DE OBRA DA CONSTRUÇÃO DA UBS JD. BRASÍLIA - REAJUSTE - EXERCÍCIO 2026.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 241276.78}]",,,,,,4
