valLiquidado,valPagoRestos,valAnuladoEmpenho,valPagoExercicio,txtRazaoSocial,valLiquidadoRestos,valEmpenhadoLiquido,numCpfCnpj,valTotalEmpenhado,modifiedMode,usuarioOperacao
0.0,0.0,0.0,0.0,EEC ENGENHARIA E CONSTRUCOES LTDA,0.0,355634.76,02811333000126,355634.76,5,
0.0,0.0,0.0,0.0,DB CONSTRUCOES LTDA,0.0,2763554.09,03101876000112,2763554.09,5,
0.0,0.0,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,947781.06,03643992000163,947781.06,5,
0.0,0.0,0.0,0.0,NUCLEO ENGENHARIA CONSULTIVA SA,0.0,30128.0,38894804000154,30128.0,5,
0.0,191662.8,0.0,0.0,EPURA ENGENHARIA E CONSTRUCOES LTDA,0.0,2178999.55,47627898000196,2178999.55,5,
0.0,0.0,0.0,0.0,GEOMETRICA ENGENHARIA DE PROJETOS LTDA,0.0,24028.4,55069736000108,24028.4,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,4079562.18,56838949000110,4079562.18,5,
0.0,2968105.81,0.0,0.0,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,0.0,6507566.96,57646374000104,6507566.96,5,
0.0,0.0,0.0,0.0,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,0.0,1561094.08,62533278000181,1561094.08,5,
0.0,0.0,0.0,0.0,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,0.0,4864374.74,66748955000130,4864374.74,5,
0.0,0.0,0.0,0.0,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,0.0,2667043.44,67192609000180,2667043.44,5,
0.0,1385957.44,0.0,0.0,SANED ENGENHARIA  E EMPREENDIMENTOS S.A,0.0,8759256.11,68976224000177,8759256.11,5,
0.0,5577231.12,0.0,0.0,MC ENGENHARIA  E CONSTRUCOES SA,0.0,5577686.22,71654446000188,5577686.22,5,
0.0,118648.42,0.0,0.0,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,0.0,761520.3,06273115000136,761520.3,5,
0.0,940015.08,0.0,0.0,CONSITEC  ENGENHARIA E TECNOLOGIA LTDA,0.0,1005677.11,02243019000194,1005677.11,5,
0.0,0.0,0.0,0.0,LEMAM CONSTRUCOES E COMERCIO SA,0.0,987267.58,04002395000112,987267.58,5,
0.0,7580034.82,0.0,0.0,FBF CONSTRUCOES E SERVICOS LTDA,0.0,14855943.02,02542939000103,14855943.02,5,
0.0,0.0,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,1048675.9,07879965000145,1048675.9,5,
0.0,0.0,0.0,0.0,CONSTRUTORA ITAJAI LTDA,0.0,480183.25,55460554000163,480183.25,5,
0.0,65163.3,0.0,0.0,CASAMAX  COMERCIAL LTDA ,0.0,2870556.0,08183516000120,2870556.0,5,
0.0,0.0,0.0,0.0,MATHESIS ENGENHARIA  CONSTRUCAO LIMITADA,0.0,871654.59,03302648000100,871654.59,5,
0.0,5108.58,0.0,0.0,TRANSVIAS CONSTRUCOES E TERRAPLENAGEM LTDA,0.0,4946819.54,54883194000140,4946819.54,5,
0.0,0.0,0.0,0.0,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,0.0,294751.96,07534937000196,294751.96,5,
0.0,1611427.89,0.0,0.0,HABITA LOTE 12 SA,0.0,19976227.96,33113646000134,19976227.96,5,
0.0,438666.98,0.0,0.0,FOSSATTI ENGENHARIA EIRELI,0.0,914556.51,18613165000102,914556.51,5,
0.0,473599.32,0.0,0.0,MUDE CONSTRUTORA E INCORPORADORA LTDA,0.0,615299.68,03069088000196,615299.68,5,
0.0,241537.71,0.0,0.0,UNO HABITACAO SA,0.0,9305681.67,33298127000198,9305681.67,5,
0.0,94774.27,0.0,0.0,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,0.0,9279671.85,32994332000125,9279671.85,5,
0.0,0.0,0.0,0.0,UNO PPP HABITACAO SA,0.0,9073036.97,40280308000152,9073036.97,5,
0.0,0.0,0.0,0.0,CONSORCIO ROY  LETTIERI,0.0,3998890.9,45404270000104,3998890.9,5,
0.0,0.0,0.0,0.0,CONSORCIO MACOR  DB,0.0,2763544.09,45854245000114,2763544.09,5,
0.0,0.0,0.0,0.0,EEC ENGENHARIA E CONSTRUCOES LTDA,0.0,355634.76,02811333000126,355634.76,5,
0.0,0.0,0.0,0.0,DB CONSTRUCOES LTDA,0.0,2763554.09,03101876000112,2763554.09,5,
0.0,0.0,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,947781.06,03643992000163,947781.06,5,
