valLiquidado,valPagoRestos,valAnuladoEmpenho,valPagoExercicio,txtRazaoSocial,valLiquidadoRestos,valEmpenhadoLiquido,numCpfCnpj,valTotalEmpenhado,modifiedMode,usuarioOperacao
0.0,153522.47,0.0,0.0,EGIS  ENGENHARIA E CONSULTORIA LTDA,0.0,316694.17,44239135000503,316694.17,5,
0.0,0.0,0.0,0.0,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,0.0,1010163.86,33177148000155,1010163.86,5,
0.0,113473.11,0.0,0.0,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,0.0,234078.3,09008769000120,234078.3,5,
0.0,4788546.03,0.0,0.0,HABITA LOTE 12 SA,0.0,13283582.16,33113646000134,13283582.16,5,
0.0,703399.91,0.0,0.0,DB CONSTRUCOES LTDA,0.0,16405447.23,03101876000112,16405447.23,5,
0.0,873771.37,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,6379590.75,03643992000163,6379590.75,5,
0.0,488329.4,0.0,0.0,ECR ENGENHARIA LTDA,0.0,593075.82,42161372000140,593075.82,5,
0.0,2768705.42,0.0,0.0,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,0.0,27232252.49,43677822000114,27232252.49,5,
0.0,774784.43,0.0,0.0,ARVEK TECNICA E CONSTRUCOES LTDA,0.0,5381163.95,47218979000132,5381163.95,5,
0.0,4804029.0,0.0,0.0,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,0.0,71508585.53,47902648000117,71508585.53,5,
0.0,66749.04,0.0,0.0,ALPHAGEOS TECNOLOGIA APLICADA SA,0.0,137693.12,55194369000174,137693.12,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,1499666.63,56838949000110,1499666.63,5,
0.0,21459.83,0.0,0.0,J L ENGENHARIA E CONSTRUCAO LTDA,0.0,4338411.88,57085201000156,4338411.88,5,
0.0,11328241.13,0.0,0.0,SAO PAULO TRANSPORTE SA,0.0,35385181.0,60498417000158,35385181.0,5,
0.0,0.0,0.0,0.0,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,0.0,569930.8,60862331000162,569930.8,5,
0.0,4626541.28,0.0,0.0,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,0.0,28428275.32,62162847000120,28428275.32,5,
0.0,1755342.56,0.0,0.0,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,0.0,32298544.65,66806555000133,32298544.65,5,
0.0,86113.63,0.0,0.0,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4797604.37,01454603000126,4797604.37,5,
0.0,156454.07,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,6007628.01,07879965000145,6007628.01,5,
0.0,2611067.53,0.0,0.0,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,7647491.79,02120261000170,7647491.79,5,
0.0,0.0,0.0,0.0,EGT ENGENHARIA LTDA,0.0,252540.96,00376282000126,252540.96,5,
0.0,765894.31,0.0,0.0,SAO PAULO OBRAS  SP OBRAS,0.0,2888873.17,11958828000173,2888873.17,5,
0.0,8237394.69,0.0,0.0,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,0.0,17527225.16,01065014000156,17527225.16,5,
0.0,759927.79,0.0,0.0,ENGENHARIA E COMERCIO RIGEL LTDA,0.0,2522717.85,53640280000169,2522717.85,5,
0.0,4928162.06,0.0,0.0,BELLACON CONSTRUTORA E INCORPORADORA LTDA,0.0,4929711.86,07667763000130,4929711.86,5,
0.0,11221.97,0.0,0.0,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,0.0,10303859.2,09052229000144,10303859.2,5,
0.0,153522.47,0.0,0.0,EGIS  ENGENHARIA E CONSULTORIA LTDA,0.0,316694.17,44239135000503,316694.17,5,
0.0,0.0,0.0,0.0,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,0.0,1010163.86,33177148000155,1010163.86,5,
0.0,113473.11,0.0,0.0,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,0.0,234078.3,09008769000120,234078.3,5,
0.0,4788546.03,0.0,0.0,HABITA LOTE 12 SA,0.0,13283582.16,33113646000134,13283582.16,5,
0.0,703399.91,0.0,0.0,DB CONSTRUCOES LTDA,0.0,16405447.23,03101876000112,16405447.23,5,
0.0,873771.37,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,6379590.75,03643992000163,6379590.75,5,
0.0,488329.4,0.0,0.0,ECR ENGENHARIA LTDA,0.0,593075.82,42161372000140,593075.82,5,
0.0,2768705.42,0.0,0.0,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,0.0,27232252.49,43677822000114,27232252.49,5,
0.0,774784.43,0.0,0.0,ARVEK TECNICA E CONSTRUCOES LTDA,0.0,5381163.95,47218979000132,5381163.95,5,
0.0,4804029.0,0.0,0.0,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,0.0,71508585.53,47902648000117,71508585.53,5,
0.0,66749.04,0.0,0.0,ALPHAGEOS TECNOLOGIA APLICADA SA,0.0,137693.12,55194369000174,137693.12,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,1499666.63,56838949000110,1499666.63,5,
0.0,21459.83,0.0,0.0,J L ENGENHARIA E CONSTRUCAO LTDA,0.0,4338411.88,57085201000156,4338411.88,5,
0.0,11328241.13,0.0,0.0,SAO PAULO TRANSPORTE SA,0.0,35385181.0,60498417000158,35385181.0,5,
0.0,0.0,0.0,0.0,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,0.0,569930.8,60862331000162,569930.8,5,
0.0,4626541.28,0.0,0.0,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,0.0,28428275.32,62162847000120,28428275.32,5,
0.0,1755342.56,0.0,0.0,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,0.0,32298544.65,66806555000133,32298544.65,5,
0.0,86113.63,0.0,0.0,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4797604.37,01454603000126,4797604.37,5,
0.0,156454.07,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,6007628.01,07879965000145,6007628.01,5,
0.0,2611067.53,0.0,0.0,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,7647491.79,02120261000170,7647491.79,5,
0.0,0.0,0.0,0.0,EGT ENGENHARIA LTDA,0.0,252540.96,00376282000126,252540.96,5,
0.0,765894.31,0.0,0.0,SAO PAULO OBRAS  SP OBRAS,0.0,2888873.17,11958828000173,2888873.17,5,
0.0,8237394.69,0.0,0.0,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,0.0,17527225.16,01065014000156,17527225.16,5,
0.0,759927.79,0.0,0.0,ENGENHARIA E COMERCIO RIGEL LTDA,0.0,2522717.85,53640280000169,2522717.85,5,
0.0,4928162.06,0.0,0.0,BELLACON CONSTRUTORA E INCORPORADORA LTDA,0.0,4929711.86,07667763000130,4929711.86,5,
0.0,11221.97,0.0,0.0,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,0.0,10303859.2,09052229000144,10303859.2,5,
0.0,153522.47,0.0,0.0,EGIS  ENGENHARIA E CONSULTORIA LTDA,0.0,316694.17,44239135000503,316694.17,5,
0.0,0.0,0.0,0.0,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,0.0,1010163.86,33177148000155,1010163.86,5,
0.0,113473.11,0.0,0.0,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,0.0,234078.3,09008769000120,234078.3,5,
0.0,4788546.03,0.0,0.0,HABITA LOTE 12 SA,0.0,13283582.16,33113646000134,13283582.16,5,
0.0,703399.91,0.0,0.0,DB CONSTRUCOES LTDA,0.0,16405447.23,03101876000112,16405447.23,5,
0.0,873771.37,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,6379590.75,03643992000163,6379590.75,5,
0.0,488329.4,0.0,0.0,ECR ENGENHARIA LTDA,0.0,593075.82,42161372000140,593075.82,5,
0.0,2768705.42,0.0,0.0,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,0.0,27232252.49,43677822000114,27232252.49,5,
0.0,774784.43,0.0,0.0,ARVEK TECNICA E CONSTRUCOES LTDA,0.0,5381163.95,47218979000132,5381163.95,5,
0.0,4804029.0,0.0,0.0,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,0.0,71508585.53,47902648000117,71508585.53,5,
0.0,66749.04,0.0,0.0,ALPHAGEOS TECNOLOGIA APLICADA SA,0.0,137693.12,55194369000174,137693.12,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,1499666.63,56838949000110,1499666.63,5,
0.0,21459.83,0.0,0.0,J L ENGENHARIA E CONSTRUCAO LTDA,0.0,4338411.88,57085201000156,4338411.88,5,
0.0,11328241.13,0.0,0.0,SAO PAULO TRANSPORTE SA,0.0,35385181.0,60498417000158,35385181.0,5,
0.0,0.0,0.0,0.0,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,0.0,569930.8,60862331000162,569930.8,5,
0.0,4626541.28,0.0,0.0,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,0.0,28428275.32,62162847000120,28428275.32,5,
0.0,1755342.56,0.0,0.0,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,0.0,32298544.65,66806555000133,32298544.65,5,
0.0,86113.63,0.0,0.0,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4797604.37,01454603000126,4797604.37,5,
0.0,156454.07,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,6007628.01,07879965000145,6007628.01,5,
0.0,2611067.53,0.0,0.0,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,7647491.79,02120261000170,7647491.79,5,
0.0,0.0,0.0,0.0,EGT ENGENHARIA LTDA,0.0,252540.96,00376282000126,252540.96,5,
0.0,765894.31,0.0,0.0,SAO PAULO OBRAS  SP OBRAS,0.0,2888873.17,11958828000173,2888873.17,5,
0.0,8237394.69,0.0,0.0,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,0.0,17527225.16,01065014000156,17527225.16,5,
0.0,759927.79,0.0,0.0,ENGENHARIA E COMERCIO RIGEL LTDA,0.0,2522717.85,53640280000169,2522717.85,5,
0.0,4928162.06,0.0,0.0,BELLACON CONSTRUTORA E INCORPORADORA LTDA,0.0,4929711.86,07667763000130,4929711.86,5,
0.0,11221.97,0.0,0.0,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,0.0,10303859.2,09052229000144,10303859.2,5,
0.0,153522.47,0.0,0.0,EGIS  ENGENHARIA E CONSULTORIA LTDA,0.0,316694.17,44239135000503,316694.17,5,
0.0,0.0,0.0,0.0,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,0.0,1010163.86,33177148000155,1010163.86,5,
0.0,113473.11,0.0,0.0,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,0.0,234078.3,09008769000120,234078.3,5,
0.0,4788546.03,0.0,0.0,HABITA LOTE 12 SA,0.0,13283582.16,33113646000134,13283582.16,5,
0.0,703399.91,0.0,0.0,DB CONSTRUCOES LTDA,0.0,16405447.23,03101876000112,16405447.23,5,
0.0,873771.37,0.0,0.0,BB ENGENHARIA E CONSTRUCOES S A,0.0,6379590.75,03643992000163,6379590.75,5,
0.0,488329.4,0.0,0.0,ECR ENGENHARIA LTDA,0.0,593075.82,42161372000140,593075.82,5,
0.0,2768705.42,0.0,0.0,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,0.0,27232252.49,43677822000114,27232252.49,5,
0.0,774784.43,0.0,0.0,ARVEK TECNICA E CONSTRUCOES LTDA,0.0,5381163.95,47218979000132,5381163.95,5,
0.0,4804029.0,0.0,0.0,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,0.0,71508585.53,47902648000117,71508585.53,5,
0.0,66749.04,0.0,0.0,ALPHAGEOS TECNOLOGIA APLICADA SA,0.0,137693.12,55194369000174,137693.12,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,1499666.63,56838949000110,1499666.63,5,
0.0,21459.83,0.0,0.0,J L ENGENHARIA E CONSTRUCAO LTDA,0.0,4338411.88,57085201000156,4338411.88,5,
0.0,11328241.13,0.0,0.0,SAO PAULO TRANSPORTE SA,0.0,35385181.0,60498417000158,35385181.0,5,
0.0,0.0,0.0,0.0,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,0.0,569930.8,60862331000162,569930.8,5,
0.0,4626541.28,0.0,0.0,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,0.0,28428275.32,62162847000120,28428275.32,5,
0.0,1755342.56,0.0,0.0,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,0.0,32298544.65,66806555000133,32298544.65,5,
0.0,86113.63,0.0,0.0,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4797604.37,01454603000126,4797604.37,5,
0.0,156454.07,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,6007628.01,07879965000145,6007628.01,5,
0.0,2611067.53,0.0,0.0,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,7647491.79,02120261000170,7647491.79,5,
0.0,0.0,0.0,0.0,EGT ENGENHARIA LTDA,0.0,252540.96,00376282000126,252540.96,5,
0.0,765894.31,0.0,0.0,SAO PAULO OBRAS  SP OBRAS,0.0,2888873.17,11958828000173,2888873.17,5,
0.0,8237394.69,0.0,0.0,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,0.0,17527225.16,01065014000156,17527225.16,5,
0.0,759927.79,0.0,0.0,ENGENHARIA E COMERCIO RIGEL LTDA,0.0,2522717.85,53640280000169,2522717.85,5,
0.0,4928162.06,0.0,0.0,BELLACON CONSTRUTORA E INCORPORADORA LTDA,0.0,4929711.86,07667763000130,4929711.86,5,
0.0,11221.97,0.0,0.0,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,0.0,10303859.2,09052229000144,10303859.2,5,
0.0,153522.47,0.0,0.0,EGIS  ENGENHARIA E CONSULTORIA LTDA,0.0,316694.17,44239135000503,316694.17,5,
0.0,0.0,0.0,0.0,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,0.0,1010163.86,33177148000155,1010163.86,5,
0.0,113473.11,0.0,0.0,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,0.0,234078.3,09008769000120,234078.3,5,
0.0,4788546.03,0.0,0.0,HABITA LOTE 12 SA,0.0,13283582.16,33113646000134,13283582.16,5,
2835392.01,703399.91,4478774.08,1671486.21,DB CONSTRUCOES LTDA,0.0,11926673.15,03101876000112,16405447.23,5,
196709.31,873771.37,1284773.04,196709.31,BB ENGENHARIA E CONSTRUCOES S A,0.0,5094817.71,03643992000163,6379590.75,5,
0.0,488329.4,0.0,0.0,ECR ENGENHARIA LTDA,0.0,593075.82,42161372000140,593075.82,5,
0.0,2768705.42,0.0,0.0,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,0.0,27232252.49,43677822000114,27232252.49,5,
0.0,774784.43,0.0,0.0,ARVEK TECNICA E CONSTRUCOES LTDA,0.0,5381163.95,47218979000132,5381163.95,5,
0.0,4804029.0,0.0,0.0,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,0.0,71508585.53,47902648000117,71508585.53,5,
0.0,66749.04,0.0,0.0,ALPHAGEOS TECNOLOGIA APLICADA SA,0.0,137693.12,55194369000174,137693.12,5,
0.0,0.0,0.0,0.0,CONSTRUTORA PROGREDIOR LTDA,0.0,1499666.63,56838949000110,1499666.63,5,
0.0,21459.83,0.0,0.0,J L ENGENHARIA E CONSTRUCAO LTDA,0.0,4338411.88,57085201000156,4338411.88,5,
0.0,11328241.13,0.0,0.0,SAO PAULO TRANSPORTE SA,0.0,35385181.0,60498417000158,35385181.0,5,
0.0,0.0,0.0,0.0,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,0.0,569930.8,60862331000162,569930.8,5,
0.0,4626541.28,0.0,0.0,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,0.0,28428275.32,62162847000120,28428275.32,5,
0.0,1755342.56,0.0,0.0,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,0.0,32298544.65,66806555000133,32298544.65,5,
1093160.89,86113.63,0.0,1093160.89,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4797604.37,01454603000126,4797604.37,5,
0.0,156454.07,0.0,0.0,CONSTRUTORA LETTIERI CORDARO LTDA,0.0,6007628.01,07879965000145,6007628.01,5,
0.0,2611067.53,0.0,0.0,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,7647491.79,02120261000170,7647491.79,5,
0.0,0.0,0.0,0.0,EGT ENGENHARIA LTDA,0.0,252540.96,00376282000126,252540.96,5,
0.0,765894.31,0.0,0.0,SAO PAULO OBRAS  SP OBRAS,0.0,2888873.17,11958828000173,2888873.17,5,
